Yr,Mo,Day,Hr,VSM
2020,1,29,6,0.1485
2020,1,29,18,0.147125
2020,1,30,6,0.144625
2020,1,30,18,0.145
2020,1,31,6,0.14325
2020,1,31,18,0.143625
2020,2,1,6,0.141375
2020,2,1,18,0.1425
2020,2,2,6,0.14075
2020,2,2,18,0.1395
2020,2,3,6,0.136875
2020,2,3,18,0.135125
2020,2,4,6,0.13175
2020,2,4,18,0.133625
2020,2,5,6,0.13075
2020,2,5,18,0.132875
2020,2,6,6,0.130625
2020,2,6,18,0.130875
2020,2,7,6,0.12825
2020,2,7,18,0.13
2020,2,8,6,0.127125
2020,2,8,18,0.13
2020,2,9,6,0.127
2020,2,9,18,0.1275
2020,2,10,6,0.1255
2020,2,10,18,0.17575
2020,2,11,6,0.1685
2020,2,11,18,0.16475
2020,2,12,6,0.159125
2020,2,12,18,0.183625
2020,2,13,6,0.175375
2020,2,13,18,0.17025
2020,2,14,6,0.164625
2020,2,14,18,0.16225
2020,2,15,6,0.158625
2020,2,15,18,0.1575
2020,2,16,6,0.15325
2020,2,16,18,0.152
2020,2,17,6,0.147375
2020,2,17,18,0.147875
2020,2,18,6,0.1445
2020,2,18,18,0.144375
2020,2,19,6,0.139875
2020,2,19,18,0.140625
2020,2,20,6,0.136875
2020,2,20,18,0.182875
2020,2,21,6,0.175
2020,2,21,18,0.171125
2020,2,22,6,0.167625
2020,2,22,18,0.166375
2020,2,23,6,0.16175
2020,2,23,18,0.159375
2020,2,24,6,0.154875
2020,2,24,18,0.15375
2020,2,25,6,0.149625
2020,2,25,18,0.1495
2020,2,26,6,0.145125
2020,2,26,18,0.14525
2020,2,27,6,0.141125
2020,2,27,18,0.141625
2020,2,28,6,0.138125
2020,2,28,18,0.1385
2020,2,29,6,0.134625
2020,2,29,18,0.133375
2020,3,1,6,0.12875
2020,3,1,18,0.12775
2020,3,2,6,0.12425
2020,3,2,18,0.12625
2020,3,3,6,0.123125
2020,3,3,18,0.125
2020,3,4,6,0.121375
2020,3,4,18,0.12375
2020,3,5,6,0.120125
2020,3,5,18,0.12225
2020,3,6,6,0.118375
2020,3,6,18,0.120375
2020,3,7,6,0.11725
2020,3,7,18,0.117875
2020,3,8,6,0.116125
2020,3,8,18,0.117375
2020,3,9,6,0.1155
2020,3,9,18,0.116375
2020,3,10,6,0.11375
2020,3,10,18,0.158375
2020,3,11,6,0.161
2020,3,11,18,0.16975
2020,3,12,6,0.16475
2020,3,12,18,0.15825
2020,3,13,6,0.151875
2020,3,13,18,0.147
2020,3,14,6,0.141125
2020,3,14,18,0.136625
2020,3,15,6,0.132125
2020,3,15,18,0.130375
2020,3,16,6,0.135375
2020,3,16,18,0.2645
2020,3,17,6,0.24475
2020,3,17,18,0.223125
2020,3,18,6,0.2165
2020,3,18,18,0.1975
2020,3,19,6,0.19375
2020,3,19,18,0.242
2020,3,20,6,0.234125
2020,3,20,18,0.212125
2020,3,21,6,0.21825
2020,3,21,18,0.224625
2020,3,22,6,0.223
2020,3,22,18,0.20625
2020,3,23,6,0.24725
2020,3,23,18,0.2405
2020,3,24,6,0.23525
2020,3,24,18,0.22275
2020,3,25,6,0.234375
2020,3,25,18,0.22275
2020,3,26,6,0.21875
2020,3,26,18,0.20225
2020,3,27,6,0.197375
2020,3,27,18,0.18425
2020,3,28,6,0.18075
2020,3,28,18,0.174375
2020,3,29,6,0.178625
2020,3,29,18,0.170375
2020,3,30,6,0.167125
2020,3,30,18,0.187875
2020,3,31,6,0.183375
2020,3,31,18,0.205125
2020,4,1,6,0.21275
2020,4,1,18,0.19125
2020,4,2,6,0.1875
2020,4,2,18,0.176
2020,4,3,6,0.171
2020,4,3,18,0.1735
2020,4,4,6,0.171125
2020,4,4,18,0.180375
2020,4,5,6,0.178375
2020,4,5,18,0.17575
2020,4,6,6,0.24925
2020,4,6,18,0.260375
2020,4,7,6,0.25325
2020,4,7,18,0.230125
2020,4,8,6,0.22525
2020,4,8,18,0.225375
2020,4,9,6,0.27125
2020,4,9,18,0.253375
2020,4,10,6,0.24375
2020,4,10,18,0.2235
2020,4,11,6,0.218125
2020,4,11,18,0.201625
2020,4,12,6,0.19825
2020,4,12,18,0.1835
2020,4,13,6,0.18025
2020,4,13,18,0.175125
2020,4,14,6,0.17175
2020,4,14,18,0.161875
